timestamp,package,core,uncore,dram,psys,cpu
0.125,7.285912,3.187006,0.069432,0.000000,14.016372,0
0.237,6.177274,2.341996,0.114323,0.000000,12.652877,0
0.350,10.173889,2.739437,0.108342,0.000000,13.374323,0
0.462,8.968738,4.957705,0.119215,0.000000,15.206376,0
0.565,7.564521,3.673228,0.134879,0.000000,15.335223,0
0.676,7.339069,2.985431,0.114888,0.000000,15.919915,0
0.788,7.201040,2.688084,0.110961,0.000000,15.593279,0
0.901,6.429366,2.442714,0.131422,0.000000,12.833209,0
1.013,7.213578,3.325822,0.120453,0.000000,13.907190,0
1.125,6.565680,2.795042,0.108884,0.000000,13.079640,0
1.237,6.313172,2.582463,0.105329,0.000000,12.889393,0
1.350,6.423264,2.744736,0.097641,0.000000,12.989483,0
1.463,7.333976,3.406931,0.124762,0.000000,14.463796,0
1.576,7.699131,4.008941,0.114880,0.000000,14.535851,0
1.688,8.456000,4.067484,0.081480,0.000000,17.334066,0
1.801,8.534250,4.280875,0.113236,0.000000,15.876282,0
1.914,6.535818,2.660876,0.117997,0.000000,12.615888,0
2.026,5.640851,1.907389,0.119519,0.000000,11.965524,0
2.138,10.064245,5.947921,0.134139,0.000000,18.818181,0
2.250,6.096897,1.580980,0.117594,0.000000,13.612539,0
2.363,5.564113,1.752906,0.123779,0.000000,11.841172,0
2.475,5.618364,1.867707,0.121393,0.000000,11.849135,0
2.587,6.112408,2.368326,0.121550,0.000000,12.400873,0
2.699,7.367360,3.114325,0.122354,0.000000,16.182852,0
2.812,7.095631,2.771292,0.119881,0.000000,13.987681,0
2.926,5.731694,1.968499,0.114441,0.000000,11.777835,0
3.038,6.297496,2.572009,0.137436,0.000000,12.939126,0
3.152,5.463073,1.687244,0.113668,0.000000,11.621623,0
3.264,6.079151,2.292727,0.123931,0.000000,12.388771,0
3.376,5.985228,2.245343,0.095004,0.000000,12.802144,0
3.491,6.268750,2.415881,0.156772,0.000000,11.684023,0
3.594,6.081735,2.303760,0.117484,0.000000,12.669784,0
3.696,6.199953,2.342125,0.146085,0.000000,12.526315,0
3.798,5.627915,1.859462,0.106221,0.000000,12.465434,0
3.906,5.239568,1.609068,0.093848,0.000000,12.116644,0
4.016,6.111834,2.344008,0.142712,0.000000,11.720593,0
4.119,6.049619,2.301012,0.133496,0.000000,12.583755,0
4.221,6.690521,2.846738,0.135445,0.000000,13.329132,0
4.323,5.919268,2.237903,0.106680,0.000000,12.349887,0
4.426,5.560854,1.804180,0.144144,0.000000,11.818005,0
4.529,5.830159,2.106771,0.120608,0.000000,12.356633,0
4.635,6.253823,2.550705,0.110301,0.000000,14.016813,0
4.752,6.558327,2.840430,0.102710,0.000000,13.088501,0
4.866,7.305718,3.516095,0.104790,0.000000,14.276110,0
4.979,6.908108,3.013908,0.143930,0.000000,13.466364,0
5.094,6.335274,2.573141,0.111368,0.000000,12.621227,0
5.208,6.277563,2.545261,0.113052,0.000000,12.834022,0
5.323,5.682029,2.056790,0.103426,0.000000,11.816681,0
5.436,7.930093,4.139037,0.076729,0.000000,14.414765,0
5.540,6.429955,2.601557,0.153720,0.000000,13.583506,0
5.652,5.696584,1.968953,0.085749,0.000000,11.727972,0
